case,model,MSE,RMSE,MAE,L2,RelL2,MaxAbsError,MeanAbsError,real_model_folder,source_file
Lid,LSTM-PINN,1.0643185532899224e-06,0.0010316581571867,0.0005645711789838,0.2475979626178741,0.0041546719064949,0.0032287836074829,0.0005645711789838,LSTM-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\Lid算例\Lid\LSTM-PINN\metrics\overall_metrics.csv
Lid,Causal-PINN,3.1411138479597867e-05,0.0056045640757866,0.0046498836018145,1.3450952768325806,0.0225705797379287,0.0153723042458295,0.0046498836018145,Causal-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\Lid算例\Lid\Causal-PINN\metrics\overall_metrics.csv
Lid,Param-ANN-PINN,1.2297944067540811e-06,0.0011089609581739,0.0007464694790542,0.266150563955307,0.0044659829154954,0.0045224404893815,0.0007464694790542,Parameter-ANN-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\Lid算例\Lid\Parameter-ANN-PINN\metrics\overall_metrics.csv
Lid,PirateNet,1.1994383157798438e-06,0.0010951887124052,0.0007268008193932,0.2628452777862549,0.004410520506014,0.0040847174823284,0.0007268008193932,PirateNet,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\Lid算例\Lid\PirateNet\metrics\overall_metrics.csv
TGV,LSTM-PINN,0.000171426901943,0.0130930096594728,0.0047942595556378,3.628441333770752,0.0438482740680185,0.0469780303537845,0.0047942595556378,LSTM-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\TGV算例\TGV\LSTM-PINN\metrics\overall_metrics.csv
TGV,Causal-PINN,0.0117558743804693,0.1084245100540893,0.050946906208992,30.047481536865234,0.363111894140228,0.2739673256874084,0.050946906208992,Causal-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\TGV算例\TGV\Causal-PINN\metrics\overall_metrics.csv
TGV,Param-ANN-PINN,0.0029078698717057,0.0539246684895305,0.0257395561784505,14.944042205810549,0.1805928215582987,0.1374868303537368,0.0257395561784505,Parameter-ANN-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\TGV算例\TGV\Parameter-ANN-PINN\metrics\overall_metrics.csv
TGV,PirateNet,0.0110187297686934,0.104970137509167,0.0444239526987075,29.090177536010746,0.3515432550650425,0.2888666987419128,0.0444239526987075,PirateNet,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\TGV算例\TGV\PirateNet\metrics\overall_metrics.csv
RBC,LSTM-PINN,4.322015956859104e-05,0.0065742041915655,0.0040263100527226,2.732843399047852,0.026381766423583,0.087604820728302,0.0040263100527226,LSTM-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\LSTM-PINN\metrics\overall_metrics.csv
RBC,Causal-PINN,0.0002998715499415,0.0173167996108531,0.0114766405895352,7.198453426361084,0.0694909617304802,0.1387666016817093,0.0114766405895352,Causal-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\Causal-PINN\metrics\overall_metrics.csv
RBC,Param-ANN-PINN,6.376705277943984e-05,0.0079854279756546,0.0050458940677344,3.319474935531616,0.0320448689162731,0.0463214144110679,0.0050458940677344,Parameter-ANN-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\Parameter-ANN-PINN\metrics\overall_metrics.csv
RBC,PirateNet,2.0691972167696804e-05,0.0045488430187106,0.0031599320936948,1.8909170627593996,0.0182541497051715,0.0353300794959068,0.0031599320936948,PirateNet,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\PirateNet\metrics\overall_metrics.csv
